"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Christian McCaffrey","SF","RB","416.6","24.5","17","0","0","0","0","311","1202","10","0","129","102","924","7"
"Puka Nacua","LAR","WR","375","23.4","16","0","0","0","0","10","105","1","1","166","129","1715","10"
"Bijan Robinson","ATL","RB","370.8","21.8","17","0","0","0","0","287","1478","7","3","103","79","820","4"
"Jahmyr Gibbs","DET","RB","366.9","21.6","17","0","0","0","0","243","1223","13","1","94","77","616","5"
"Josh Allen","BUF","QB","364.6","21.4","17","319","3668","25","10","112","579","14","3","0","0","0","0"
"Jonathan Taylor","IND","RB","362.3","21.3","17","0","0","0","0","323","1585","18","1","55","46","378","2"
"Jaxon Smith-Njigba","SEA","WR","359.9","21.2","17","0","0","0","0","7","36","0","1","163","119","1793","10"
"Drake Maye","NE","QB","350.8","20.6","17","354","4394","31","8","103","450","4","3","1","1","2","0"
"Matthew Stafford","LAR","QB","350.4","20.6","17","388","4707","46","8","29","1","0","3","0","0","0","0"
"Trevor Lawrence","JAX","QB","338.2","19.9","17","341","4007","29","12","82","359","9","3","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","324","19.1","17","0","0","0","0","3","9","0","0","172","117","1401","11"
"De'Von Achane","MIA","RB","322.8","20.2","16","0","0","0","0","238","1350","8","0","85","67","488","4"
"Trey McBride","ARI","TE","315.9","18.6","17","0","0","0","0","0","0","0","0","169","126","1239","11"
"Dak Prescott","DAL","QB","313.8","18.5","17","404","4552","30","10","53","177","2","2","0","0","0","0"
"Ja'Marr Chase","CIN","WR","313.6","19.6","16","0","0","0","0","3","14","0","1","185","125","1412","8"
"Caleb Williams","CHI","QB","308","18.1","17","330","3942","27","7","77","383","3","1","2","2","22","1"
"Bo Nix","DEN","QB","304.8","17.9","17","388","3931","25","11","83","356","5","2","1","0","0","0"
"James Cook","BUF","RB","302.2","17.8","17","0","0","0","0","309","1621","12","3","40","33","291","2"
"Jalen Hurts","PHI","QB","299.1","18.7","16","294","3224","25","6","105","421","8","4","0","0","0","0"
"Jared Goff","DET","QB","297.1","17.5","17","393","4564","34","8","19","45","0","5","0","0","0","0"
"George Pickens","DAL","WR","291.9","17.2","17","0","0","0","0","0","0","0","0","137","93","1429","9"
"Justin Herbert","LAC","QB","286.9","17.9","16","340","3727","26","13","83","498","2","2","0","0","0","0"
"Patrick Mahomes","KC","QB","285.7","20.4","14","315","3587","22","11","64","422","5","0","1","1","-10","0"
"Chase Brown","CIN","RB","282.6","16.6","17","0","0","0","0","232","1019","6","0","88","69","437","5"
"Derrick Henry","BAL","RB","279.5","16.4","17","0","0","0","0","307","1595","16","3","21","15","150","0"
"Baker Mayfield","TB","QB","271.9","16","17","343","3693","26","11","55","382","1","3","0","0","0","0"
"Chris Olave","NO","WR","270","16.9","16","0","0","0","1","1","-3","0","0","156","100","1163","9"
"Kyren Williams","LAR","RB","263.3","15.5","17","0","0","0","0","259","1252","10","2","50","36","281","3"
"Travis Etienne Jr.","JAX","RB","253.9","14.9","17","0","0","0","0","260","1107","7","0","52","36","292","6"
"Ashton Jeanty","LV","RB","245.1","14.4","17","0","0","0","0","266","975","5","1","73","55","346","5"
"Zay Flowers","BAL","WR","243.3","14.3","17","0","0","0","0","10","62","1","3","118","86","1211","5"
